oid,proname,pronamespace,proowner,prolang,procost,prorows,provariadic,prosupport,prokind,prosecdef,proleakproof,proisstrict,proretset,provolatile,proparallel,pronargs,pronargdefaults,prorettype,proargtypes,proallargtypes,proargmodes,proargnames,proargdefaults,protrftypes,prosrc,probin,prosqlbody,proconfig,proacl
90,pg_ddl_command_send,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,17,32,,,,,,pg_ddl_command_send,,,,
101,eqsel,11,10,12,1,0,0,0,f,f,f,t,f,s,s,4,0,701,2281 26 2281 23,,,,,,eqsel,,,,
102,neqsel,11,10,12,1,0,0,0,f,f,f,t,f,s,s,4,0,701,2281 26 2281 23,,,,,,neqsel,,,,
103,scalarltsel,11,10,12,1,0,0,0,f,f,f,t,f,s,s,4,0,701,2281 26 2281 23,,,,,,scalarltsel,,,,
104,scalargtsel,11,10,12,1,0,0,0,f,f,f,t,f,s,s,4,0,701,2281 26 2281 23,,,,,,scalargtsel,,,,
105,eqjoinsel,11,10,12,1,0,0,0,f,f,f,t,f,s,s,5,0,701,2281 26 2281 21 2281,,,,,,eqjoinsel,,,,
106,neqjoinsel,11,10,12,1,0,0,0,f,f,f,t,f,s,s,5,0,701,2281 26 2281 21 2281,,,,,,neqjoinsel,,,,
107,scalarltjoinsel,11,10,12,1,0,0,0,f,f,f,t,f,s,s,5,0,701,2281 26 2281 21 2281,,,,,,scalarltjoinsel,,,,
108,scalargtjoinsel,11,10,12,1,0,0,0,f,f,f,t,f,s,s,5,0,701,2281 26 2281 21 2281,,,,,,scalargtjoinsel,,,,
336,scalarlesel,11,10,12,1,0,0,0,f,f,f,t,f,s,s,4,0,701,2281 26 2281 23,,,,,,scalarlesel,,,,
337,scalargesel,11,10,12,1,0,0,0,f,f,f,t,f,s,s,4,0,701,2281 26 2281 23,,,,,,scalargesel,,,,
386,scalarlejoinsel,11,10,12,1,0,0,0,f,f,f,t,f,s,s,5,0,701,2281 26 2281 21 2281,,,,,,scalarlejoinsel,,,,
398,scalargejoinsel,11,10,12,1,0,0,0,f,f,f,t,f,s,s,5,0,701,2281 26 2281 21 2281,,,,,,scalargejoinsel,,,,
109,unknownin,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,705,2275,,,,,,unknownin,,,,
110,unknownout,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,2275,705,,,,,,unknownout,,,,
115,box_above_eq,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_above_eq,,,,
116,box_below_eq,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_below_eq,,,,
117,point_in,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,600,2275,,,,,,point_in,,,,
118,point_out,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,2275,600,,,,,,point_out,,,,
119,lseg_in,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,601,2275,,,,,,lseg_in,,,,
120,lseg_out,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,2275,601,,,,,,lseg_out,,,,
121,path_in,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,602,2275,,,,,,path_in,,,,
122,path_out,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,2275,602,,,,,,path_out,,,,
123,box_in,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,603,2275,,,,,,box_in,,,,
124,box_out,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,2275,603,,,,,,box_out,,,,
125,box_overlap,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_overlap,,,,
126,box_ge,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_ge,,,,
127,box_gt,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_gt,,,,
128,box_eq,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_eq,,,,
129,box_lt,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_lt,,,,
130,box_le,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_le,,,,
131,point_above,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,600 600,,,,,,point_above,,,,
132,point_left,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,600 600,,,,,,point_left,,,,
133,point_right,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,600 600,,,,,,point_right,,,,
134,point_below,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,600 600,,,,,,point_below,,,,
135,point_eq,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,600 600,,,,,,point_eq,,,,
136,on_pb,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,600 603,,,,,,on_pb,,,,
137,on_ppath,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,600 602,,,,,,on_ppath,,,,
138,box_center,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,600,603,,,,,,box_center,,,,
139,areasel,11,10,12,1,0,0,0,f,f,f,t,f,s,s,4,0,701,2281 26 2281 23,,,,,,areasel,,,,
140,areajoinsel,11,10,12,1,0,0,0,f,f,f,t,f,s,s,5,0,701,2281 26 2281 21 2281,,,,,,areajoinsel,,,,
141,int4mul,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,23,23 23,,,,,,int4mul,,,,
144,int4ne,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,23 23,,,,,,int4ne,,,,
145,int2ne,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,21 21,,,,,,int2ne,,,,
146,int2gt,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,21 21,,,,,,int2gt,,,,
