oid,proname,pronamespace,proowner,prolang,procost,prorows,provariadic,prosupport,prokind,prosecdef,proleakproof,proisstrict,proretset,provolatile,proparallel,pronargs,pronargdefaults,prorettype,proargtypes,proallargtypes,proargmodes,proargnames,proargdefaults,protrftypes,prosrc,probin,prosqlbody,proconfig,proacl
248,textltname,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,25 19,,,,,,textltname,,,,
249,textlename,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,25 19,,,,,,textlename,,,,
250,textgename,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,25 19,,,,,,textgename,,,,
251,textgtname,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,25 19,,,,,,textgtname,,,,
252,textnename,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,25 19,,,,,,textnename,,,,
253,bttextnamecmp,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,23,25 19,,,,,,bttextnamecmp,,,,
266,nameconcatoid,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,19,19 26,,,,,,nameconcatoid,,,,
274,timeofday,11,10,12,1,0,0,0,f,f,f,t,f,v,s,0,0,25,"",,,,,,timeofday,,,,
277,inter_sl,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,601 628,,,,,,inter_sl,,,,
278,inter_lb,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,628 603,,,,,,inter_lb,,,,
279,float48mul,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,700 701,,,,,,float48mul,,,,
280,float48div,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,700 701,,,,,,float48div,,,,
281,float48pl,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,700 701,,,,,,float48pl,,,,
282,float48mi,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,700 701,,,,,,float48mi,,,,
283,float84mul,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,701 700,,,,,,float84mul,,,,
284,float84div,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,701 700,,,,,,float84div,,,,
285,float84pl,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,701 700,,,,,,float84pl,,,,
286,float84mi,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,701 700,,,,,,float84mi,,,,
287,float4eq,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,700 700,,,,,,float4eq,,,,
288,float4ne,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,700 700,,,,,,float4ne,,,,
289,float4lt,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,700 700,,,,,,float4lt,,,,
290,float4le,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,700 700,,,,,,float4le,,,,
291,float4gt,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,700 700,,,,,,float4gt,,,,
292,float4ge,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,700 700,,,,,,float4ge,,,,
293,float8eq,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,701 701,,,,,,float8eq,,,,
294,float8ne,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,701 701,,,,,,float8ne,,,,
295,float8lt,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,701 701,,,,,,float8lt,,,,
296,float8le,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,701 701,,,,,,float8le,,,,
297,float8gt,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,701 701,,,,,,float8gt,,,,
298,float8ge,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,701 701,,,,,,float8ge,,,,
299,float48eq,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,700 701,,,,,,float48eq,,,,
300,float48ne,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,700 701,,,,,,float48ne,,,,
