oid,relname,relnamespace,reltype,reloftype,relowner,relam,relfilenode,reltablespace,relpages,reltuples,relallvisible,reltoastrelid,relhasindex,relisshared,relpersistence,relkind,relnatts,relchecks,relhasrules,relhastriggers,relhassubclass,relrowsecurity,relforcerowsecurity,relispopulated,relreplident,relispartition,relrewrite,relfrozenxid,relminmxid,relacl,reloptions,relpartbound
13427,table_privileges,13219,13429,0,10,0,0,0,0,-1,0,0,f,f,p,v,8,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13422,table_constraints,13219,13424,0,10,0,0,0,0,-1,0,0,f,f,p,v,11,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13441,transforms,13219,13443,0,10,0,0,0,0,-1,0,0,f,f,p,v,8,0,t,f,f,f,f,t,n,f,0,0,0,,,
13436,tables,13219,13438,0,10,0,0,0,0,-1,0,0,f,f,p,v,12,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13446,triggered_update_columns,13219,13448,0,10,0,0,0,0,-1,0,0,f,f,p,v,7,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13451,triggers,13219,13453,0,10,0,0,0,0,-1,0,0,f,f,p,v,17,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13456,udt_privileges,13219,13458,0,10,0,0,0,0,-1,0,0,f,f,p,v,7,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13518,_pg_foreign_data_wrappers,13219,13520,0,10,0,0,0,0,-1,0,0,f,f,p,v,7,0,t,f,f,f,f,t,n,f,0,0,0,,,
13461,role_udt_grants,13219,13463,0,10,0,0,0,0,-1,0,0,f,f,p,v,7,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13465,usage_privileges,13219,13467,0,10,0,0,0,0,-1,0,0,f,f,p,v,8,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13551,foreign_tables,13219,13553,0,10,0,0,0,0,-1,0,0,f,f,p,v,5,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13470,role_usage_grants,13219,13472,0,10,0,0,0,0,-1,0,0,f,f,p,v,8,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13522,foreign_data_wrapper_options,13219,13524,0,10,0,0,0,0,-1,0,0,f,f,p,v,4,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13474,user_defined_types,13219,13476,0,10,0,0,0,0,-1,0,0,f,f,p,v,29,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13479,view_column_usage,13219,13481,0,10,0,0,0,0,-1,0,0,f,f,p,v,7,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13484,view_routine_usage,13219,13486,0,10,0,0,0,0,-1,0,0,f,f,p,v,6,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13526,foreign_data_wrappers,13219,13528,0,10,0,0,0,0,-1,0,0,f,f,p,v,5,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13489,view_table_usage,13219,13491,0,10,0,0,0,0,-1,0,0,f,f,p,v,6,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13494,views,13219,13496,0,10,0,0,0,0,-1,0,0,f,f,p,v,10,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13530,_pg_foreign_servers,13219,13532,0,10,0,0,0,0,-1,0,0,f,f,p,v,9,0,t,f,f,f,f,t,n,f,0,0,0,,,
13499,data_type_privileges,13219,13501,0,10,0,0,0,0,-1,0,0,f,f,p,v,5,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13504,element_types,13219,13506,0,10,0,0,0,0,-1,0,0,f,f,p,v,28,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13509,_pg_foreign_table_columns,13219,13511,0,10,0,0,0,0,-1,0,0,f,f,p,v,4,0,t,f,f,f,f,t,n,f,0,0,0,,,
13555,_pg_user_mappings,13219,13557,0,10,0,0,0,0,-1,0,0,f,f,p,v,7,0,t,f,f,f,f,t,n,f,0,0,0,,,
13514,column_options,13219,13516,0,10,0,0,0,0,-1,0,0,f,f,p,v,6,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13534,foreign_server_options,13219,13536,0,10,0,0,0,0,-1,0,0,f,f,p,v,4,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13538,foreign_servers,13219,13540,0,10,0,0,0,0,-1,0,0,f,f,p,v,7,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13542,_pg_foreign_tables,13219,13544,0,10,0,0,0,0,-1,0,0,f,f,p,v,7,0,t,f,f,f,f,t,n,f,0,0,0,,,
13547,foreign_table_options,13219,13549,0,10,0,0,0,0,-1,0,0,f,f,p,v,5,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13560,user_mapping_options,13219,13562,0,10,0,0,0,0,-1,0,0,f,f,p,v,5,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
13565,user_mappings,13219,13567,0,10,0,0,0,0,-1,0,0,f,f,p,v,3,0,t,f,f,f,f,t,n,f,0,0,0,"{postgres=arwdDxtm/postgres,=r/postgres}",,
